800.005	0.000e0
805.500	0.000e0
805.512	8.000e0
805.524	1.100e1
805.537	0.000e0
944.056	0.000e0
944.069	2.400e1
944.083	6.900e1
944.096	0.000e0
1025.188	0.000e0
1025.202	2.200e1
1025.216	1.100e1
1025.230	0.000e0
1029.724	0.000e0
1029.738	4.000e0
1029.752	1.800e1
1029.766	0.000e0
1031.463	0.000e0
1031.477	9.000e0
1031.491	1.500e1
1031.505	0.000e0
1040.094	0.000e0
1040.108	2.200e1
1040.122	8.000e0
1040.136	0.000e0
1060.434	0.000e0
1060.448	3.200e1
1060.462	0.000e0
1113.990	0.000e0
1114.004	5.400e1
1114.019	0.000e0
1116.134	0.000e0
1116.148	2.700e1
1116.163	1.100e1
1116.178	0.000e0
1116.557	0.000e0
1116.572	5.000e0
1116.586	1.400e1
1116.601	0.000e0
1118.207	0.000e0
1118.221	5.000e0
1118.236	1.800e1
1118.251	0.000e0
1123.266	0.000e0
1123.281	4.000e0
1123.295	4.100e1
1123.310	0.000e0
1134.492	0.000e0
1134.507	3.200e1
1134.522	1.700e1
1134.537	0.000e0
1165.105	0.000e0
1165.120	5.000e0
1165.135	1.800e1
1165.150	0.000e0
1238.734	0.000e0
1238.749	4.000e0
1238.764	4.700e1
1238.780	0.000e0
1365.153	0.000e0
1365.170	2.100e1
1365.186	2.000e0
1365.202	0.000e0
1403.145	0.000e0
1403.161	1.500e1
1403.177	1.000e1
1403.194	0.000e0
1404.372	0.000e0
1404.388	1.800e1
1404.405	0.000e0
1444.179	0.000e0
1444.196	4.000e1
1444.212	0.000e0
1493.661	0.000e0
1493.677	1.400e1
1493.694	5.000e0
1493.711	0.000e0
1506.924	0.000e0
1506.941	1.200e1
1506.958	2.100e1
1506.975	0.000e0
1578.144	0.000e0
1578.161	3.000e0
1578.179	2.400e1
1578.196	0.000e0
1611.284	0.000e0
1611.301	2.200e1
1611.319	5.000e0
1611.336	0.000e0
1626.133	0.000e0
1626.150	5.000e0
1626.168	1.900e1
1626.185	0.000e0
1644.218	0.000e0
1644.236	1.100e1
1644.254	2.900e1
1644.271	0.000e0
1667.305	0.000e0
1667.323	1.000e1
1667.341	1.600e1
1667.359	0.000e0
1698.770	0.000e0
1698.788	4.000e0
1698.806	2.900e1
1698.824	0.000e0
1709.191	0.000e0
1709.209	2.600e1
1709.227	2.000e0
1709.245	0.000e0
1711.431	0.000e0
1711.449	1.500e1
1711.467	1.000e1
1711.485	0.000e0
1725.753	0.000e0
1725.771	1.400e1
1725.789	5.000e0
1725.808	0.000e0
1732.073	0.000e0
1732.091	2.000e1
1732.110	1.400e1
1732.128	0.000e0
1734.201	0.000e0
